	BrMin	BrFactor_ADAPT	nChromoSi_AWSoM	PoyntingFluxPerBSi	LperpTimesSqrtBSi	StochasticExponent	rMinWaveReflection	realization	pfss	UseSurfaceWaveRefl
0	6.573199438	0.864747766	3.919229E+18	552790.3393	147761.8671	0.278171356	1.190080223	0.727272727	1	1
1	8.005269271	1.483879499	3.430236E+18	455437.3953	170489.4057	0.126037917	1.115475952	0.363636364	1	2
2	9.635701878	0.700467507	2.461666E+18	776006.6476	265986.022	0.149347582	1.163778723	0.090909091	1	1
3	5.291542461	0.666654985	3.728368E+18	892677.2028	229658.0678	0.315548882	1.183809073	0.272727273	1	2
4	7.390973014	1.51744779	2.168002E+18	363366.9518	274447.3774	0.28989521	1.132161394	0.272727273	1	1
5	8.500395166	1.03344284	2.545892E+17	666003.3505	44065.3625	0.204314092	1.157546824	0.454545455	1	2
6	9.121949164	0.893731719	3.171858E+18	390870.1923	76564.72411	0.300243293	1.005883837	0.545454545	1	1
7	7.76201404	0.544866004	4.475723E+18	1051081.775	298745.9645	0.233536455	1.024621468	0.363636364	1	2
8	5.114535086	1.762948073	4.018807E+17	319809.6566	137623.9728	0.169863647	1.120183655	0	1	1
9	5.952103799	0.994900786	1.902549E+18	477911.2428	113154.1615	0.104569851	1.047990533	0.363636364	1	2
10	5.446977738	0.932855078	1.248725E+18	722743.874	278248.9069	0.330571657	1.110796664	0.272727273	1	1
11	6.92177546	1.234682781	4.460252E+18	445803.3085	217651.8031	0.304918204	1.162298419	1	1	2
12	8.344082658	0.775925315	2.771844E+18	549826.758	126472.0627	0.219410091	1.13691299	0.090909091	1	1
13	6.416307419	0.606984465	1.654923E+18	631392.1876	90684.08551	0.26320902	1.117072054	0.090909091	1	2
14	7.535496975	1.200870517	9.409245E+17	335380.4704	252646.8496	0.111119305	1.191676325	0.909090909	1	1
15	5.794717215	0.712154446	4.119783E+18	306265.9018	56342.1117	0.119473357	1.071859346	0.454545455	1	2
16	8.965213309	0.610704069	6.075680E+17	424940.7891	158705.6925	0.285206108	1.075876849	0.090909091	1	1
17	5.045647329	1.094835668	2.592984E+18	520738.1055	182515.7227	0.190260518	1.001260464	0	1	2
18	9.281113688	0.800635133	4.017746E+18	642554.0632	223833.6627	0.109052525	1.050603386	0.363636364	1	1
19	5.359191555	1.276197926	3.228157E+18	339941.25	128464.0154	0.261650311	1.025219387	0	1	2
20	9.723482932	1.175143315	2.097476E+18	428876.8543	97146.08439	0.21732421	1.020808198	0.181818182	1	1
21	6.10391308	0.564443375	4.846395E+17	526225.8703	254885.9746	0.303378597	1.095410848	0	1	2
22	6.732664928	0.68721773	2.969787E+18	401349.1044	287647.9771	0.192096977	1.140627473	0.090909091	1	1
23	7.849499523	1.289409975	4.880783E+18	503802.4483	62540.43869	0.287463888	1.16602358	0	1	2
24	7.232716604	1.120864375	1.345432E+18	615003.4012	160961.3171	0.12132161	1.186252105	0.545454545	1	1
25	8.652515024	0.653537044	1.832011E+18	317443.0838	188961.2542	0.268239226	1.111637149	0.363636364	1	2
26	8.073727156	0.726194707	1.290540E+18	882003.7527	83854.41928	0.162205376	1.048709329	0.818181818	1	1
27	9.567283668	1.441097889	4.680202E+18	361946.4776	141287.4606	0.202418403	1.097037427	0	1	2
28	5.635594093	0.83877069	2.692371E+18	657951.1674	168262.5923	0.288399785	1.022434776	0.454545455	1	1
29	8.813364378	1.07520668	1.407002E+18	573257.0259	268253.1424	0.12413205	1.029940425	0.545454545	1	2
30	7.478916814	0.625139838	4.973867E+18	799314.3277	116476.1614	0.237879076	1.003700626	0.909090909	1	1
31	7.938194632	1.703407065	2.839072E+18	305510.526	274995.6813	0.322379516	1.059992548	0.181818182	1	2
32	8.184647841	0.919473465	4.339726E+18	498387.1324	233119.1219	0.253218533	1.181598158	0.727272727	1	1
33	6.264156254	0.953437007	6.590628E+17	382833.3156	201286.2068	0.207016974	1.164525128	0.727272727	1	2
34	9.949694724	0.586615547	3.326495E+18	956925.5738	49510.38552	0.33300265	1.187872026	0.727272727	1	1
35	9.255050487	1.195606988	3.392802E+18	529630.4312	150687.8388	0.321549425	1.140234077	0.545454545	1	2
36	5.322979452	0.574295458	3.806225E+18	425423.0954	191357.4226	0.169006923	1.165617981	0	1	1
37	9.750749848	0.743256135	2.918678E+17	343271.0547	293723.3368	0.243274172	1.182105238	0.909090909	1	2
38	6.764890897	1.098027406	4.745429E+18	314206.7209	82667.39148	0.227304755	1.056038282	0.454545455	1	1
39	7.87218575	0.637093269	3.058266E+18	618190.5422	261487.6472	0.131875254	1.03064208	0.363636364	1	2
40	9.012385408	0.835253995	4.437995E+18	726936.4912	40109.75789	0.214285504	1.049375076	0.363636364	1	1
41	7.20169435	0.738532059	1.939239E+18	500491.3531	225701.4562	0.328076325	1.023331527	0.727272727	1	2
42	8.631027744	1.334329371	1.228829E+18	404513.3453	117664.2245	0.181103655	1.097946387	0.636363636	1	1
43	9.342096082	1.860488905	4.384477E+18	329873.665	170268.1026	0.286165365	1.033762072	0.909090909	1	2
44	9.593727891	1.026070452	2.883969E+18	472557.9988	211547.3535	0.228236991	1.112156414	0.090909091	1	1
45	5.166527469	0.857386966	1.617352E+18	358759.7236	248138.5774	0.183910433	1.141732458	0.545454545	1	2
46	8.541534678	0.682527644	4.799846E+18	982757.3773	163730.372	0.297983261	1.118373436	1	1	1
47	9.16754159	0.56911776	2.183228E+18	857636.423	130968.3696	0.199367077	1.070033061	0.818181818	1	2
48	7.045126581	0.995981606	4.231325E+18	683684.5458	282744.2229	0.313113985	1.096319785	0.272727273	1	1
49	8.162190048	1.617158237	3.745920E+18	386310.3855	35471.75762	0.166185039	1.021704925	0.909090909	1	2
50	6.295407241	1.381104366	2.481580E+18	494981.4208	139432.0627	0.242327746	1.025920971	0.636363636	1	1
51	7.714976788	0.894792712	5.694126E+17	597620.922	179050.052	0.146971249	1.051317174	0.090909091	1	2
52	7.327993113	2.216577524	9.809092E+17	302689.524	113441.6707	0.303943899	1.104362567	0.636363636	1	1
53	6.070905146	0.805419983	3.452475E+18	773583.6193	94642.74885	0.273165777	1.077544824	0.363636364	1	2
54	8.031315727	1.050939206	4.054584E+18	366701.9961	98101.72708	0.338301302	1.07535849	0.181818182	1	1
55	5.759363394	0.624107678	2.362641E+18	993540.6433	283694.4644	0.20933458	1.052035613	0.636363636	1	2
56	6.521149295	1.667036057	1.871714E+18	344078.1916	41335.21676	0.191064046	1.198561811	0.181818182	1	1
