	BrMin	BrFactor_ADAPT	nChromoSi_AWSoM	PoyntingFluxPerBSi	LperpTimesSqrtBSi	StochasticExponent	rMinWaveReflection	realization	pfss	UseSurfaceWaveRefl
0	6.573199438	0.864747766	3.919229E+18	552790.3393	147761.8671	0.278171356	1.190080223	0.727272727	1	1
1	8.005269271	1.483879499	3.430236E+18	455437.3953	170489.4057	0.126037917	1.115475952	0.363636364	1	2
2	9.635701878	0.700467507	2.461666E+18	776006.6476	265986.022	0.149347582	1.163778723	0.090909091	1	1
3	6.990846574	1.648681288	3.018565E+18	644874.8596	105390.8591	0.325315311	1.068717036	0.909090909	1	2
4	8.373793239	2.250872112	4.930737E+18	346946.6146	213420.3621	0.180261179	1.043333137	0.181818182	1	1
5	8.90135561	1.135959325	4.216117E+18	990452.8636	122670.3645	0.160122797	1.1091945	0.454545455	1	2
6	6.543629139	2.352063999	1.268523E+18	434371.5131	248424.2761	0.224529057	1.010604611	0.272727273	1	1
7	7.624068533	1.884736286	1.753942E+18	536405.0496	69594.2397	0.131047404	1.08520736	0.363636364	1	2
8	5.291542461	0.666654985	3.728368E+18	892677.2028	229658.0678	0.315548882	1.183809073	0.272727273	1	2
9	7.390973014	1.51744779	2.168002E+18	363366.9518	274447.3774	0.28989521	1.132161394	0.272727273	1	1
10	8.500395166	1.03344284	2.545892E+17	666003.3505	44065.3625	0.204314092	1.157546824	0.454545455	1	2
11	9.121949164	0.893731719	3.171858E+18	390870.1923	76564.72411	0.300243293	1.005883837	0.545454545	1	1
12	5.514650726	1.352617895	4.782278E+18	688451.2819	239577.0289	0.205342327	1.080500223	0.363636364	1	1
13	9.50022922	1.729402602	4.071210E+18	411482.5074	35252.77999	0.246064919	1.127491117	0.727272727	1	2
14	7.16538229	0.781189599	8.137276E+17	967614.235	194787.7193	0.189268519	1.029219006	0.272727273	1	1
15	8.272442301	1.258993071	1.599802E+18	865564.6596	155169.7261	0.33526488	1.054602622	1	1	2
16	5.922541773	2.204966043	3.282796E+18	509245.2273	281449.4364	0.158153542	1.152887323	0	1	1
17	6.33246011	1.157542951	2.864058E+18	753142.0551	51473.4951	0.140996915	1.099223737	1	1	2
18	7.76201404	0.544866004	4.475723E+18	1051081.775	298745.9645	0.233536455	1.024621468	0.363636364	1	2
19	5.114535086	1.762948073	4.018807E+17	319809.6566	137623.9728	0.169863647	1.120183655	0	1	1
20	9.881438375	1.588658119	1.115376E+18	580365.3199	203249.3483	0.251015797	1.073388261	0.363636364	1	1
21	5.952103799	0.994900786	1.902549E+18	477911.2428	113154.1615	0.104569851	1.047990533	0.363636364	1	2
22	6.699774754	2.626635481	3.560904E+18	350201.7342	191595.8157	0.239507683	1.083611252	0.636363636	1	2
23	5.446977738	0.932855078	1.248725E+18	722743.874	278248.9069	0.330571657	1.110796664	0.272727273	1	1
24	6.92177546	1.234682781	4.460252E+18	445803.3085	217651.8031	0.304918204	1.162298419	1	1	2
25	8.344082658	0.775925315	2.771844E+18	549826.758	126472.0627	0.219410091	1.13691299	0.090909091	1	1
26	6.416307419	0.606984465	1.654923E+18	631392.1876	90684.08551	0.26320902	1.117072054	0.090909091	1	2
27	7.535496975	1.200870517	9.409245E+17	335380.4704	252646.8496	0.111119305	1.191676325	0.909090909	1	1
28	9.791792661	0.966423112	4.762999E+18	808560.4969	175092.3793	0.134429151	1.143128449	0.909090909	1	1
29	7.458611386	1.914636313	7.544170E+17	564686.121	48280.17538	0.310279239	1.038581534	0.363636364	1	2
30	8.529288125	2.52519962	2.441594E+18	468492.7735	295544.9199	0.165181869	1.063965435	0.727272727	1	1
31	6.801089185	1.423761197	3.094357E+17	837284.3683	100080.8257	0.155901155	1.019991937	0.363636364	1	2
32	7.917913041	0.819456991	2.296096E+18	933492.1945	208118.0536	0.248513229	1.094594204	0.454545455	1	1
33	5.582491672	2.037538223	2.619278E+18	489770.4512	80779.02087	0.184958063	1.199421893	0.909090909	1	2
34	9.411779481	1.33115952	3.707605E+18	610457.9281	285672.524	0.265993241	1.046461617	0	1	1
35	5.794717215	0.712154446	4.119783E+18	306265.9018	56342.1117	0.119473357	1.071859346	0.454545455	1	2
36	8.965213309	0.610704069	6.075680E+17	424940.7891	158705.6925	0.285206108	1.075876849	0.090909091	1	1
37	5.045647329	1.094835668	2.592984E+18	520738.1055	182515.7227	0.190260518	1.001260464	0	1	2
38	9.968760548	2.003711442	1.507045E+18	378950.0203	117360.8462	0.231100484	1.154416244	0.909090909	1	2
39	7.320706558	1.055497473	3.415039E+18	1047824.336	243112.8265	0.174187357	1.053079757	0.454545455	1	1
40	8.740491874	1.524930522	3.826118E+18	743997.1384	64292.57495	0.320226998	1.027696139	0.818181818	1	2
41	9.281113688	0.800635133	4.017746E+18	642554.0632	223833.6627	0.109052525	1.050603386	0.363636364	1	1
42	5.359191555	1.276197926	3.228157E+18	339941.25	128464.0154	0.261650311	1.025219387	0	1	2
43	9.654786608	2.126018861	3.117226E+18	559847.4888	197781.8271	0.167489933	1.178509447	0.272727273	1	1
44	7.009603627	0.907903816	2.400222E+18	816124.16	38240.83666	0.222843457	1.076696115	0.545454545	1	2
45	5.761847233	2.584904397	4.728803E+18	457804.0639	153955.9025	0.312080062	1.103905267	0	1	1
46	8.842006751	2.55120971	1.198141E+18	373500.2598	54746.32606	0.148280877	1.14851723	0.818181818	1	2
47	7.6037677	1.009204719	3.535957E+18	702570.3004	136661.9565	0.177110964	1.069379495	0	1	1
48	9.723482932	1.175143315	2.097476E+18	428876.8543	97146.08439	0.21732421	1.020808198	0.181818182	1	1
49	6.10391308	0.564443375	4.846395E+17	526225.8703	254885.9746	0.303378597	1.095410848	0	1	2
50	6.732664928	0.68721773	2.969787E+18	401349.1044	287647.9771	0.192096977	1.140627473	0.090909091	1	1
51	7.849499523	1.289409975	4.880783E+18	503802.4483	62540.43869	0.287463888	1.16602358	0	1	2
52	9.480232525	0.844115177	1.052867E+18	1027641.655	102056.3108	0.318038676	1.117915924	1	1	2
53	7.145095768	2.062229452	3.869287E+18	396364.9468	262646.4527	0.141624165	1.013063067	0.909090909	1	1
54	5.863178613	1.465224979	1.538346E+18	729707.1623	214316.4126	0.172515816	1.192519815	0.363636364	1	2
55	7.780794931	1.961188841	3.314919E+17	484916.5125	230804.9275	0.337356744	1.033096466	0.090909091	1	1
56	5.13359597	1.012942086	4.583896E+18	941040.6465	70738.13833	0.154239547	1.134409297	0.909090909	1	2
