"","Strength","Radius","Orientation","ApexHeight","FootptDistance","Helicity","EEGGLMethod"
"1",1.505,0.675,42.3,1.07375,1.025,1,1
"2",0.545,0.495,20.7,1.14125,0.635,1,1
"3",1.625,0.575,-6.3,1.24625,1.415,1,1
"4",1.145,0.685,-40.5,0.89375,1.805,-1,1
"5",0.875,0.445,6.3,0.99875,1.055,1,2
"6",1.925,0.745,-33.3,1.15625,1.355,-1,2
"7",1.715,0.695,-17.1,1.18625,0.605,1,1
"8",1.355,0.775,29.7,1.05875,1.565,1,2
"9",0.605,0.585,-2.7,0.93875,0.755,-1,2
"10",1.685,0.465,38.7,0.94625,0.785,1,1
"11",0.845,0.385,-27.9,1.17875,1.295,-1,1
"12",1.835,0.405,-29.7,1.06625,0.665,1,2
"13",1.535,0.415,9.9,1.19375,1.655,1,1
"14",0.935,0.715,-0.899999999999999,1.08875,1.685,1,2
"15",0.785,0.555,18.9,0.87875,1.625,-1,2
"16",0.725,0.755,11.7,1.23875,1.205,1,2
"17",1.595,0.435,-44.1,1.11875,1.175,-1,2
"18",1.655,0.325,26.1,1.02125,1.325,-1,2
"19",0.665,0.375,35.1,1.04375,0.515,1,2
"20",1.985,0.455,22.5,1.08125,1.505,1,1
"21",1.055,0.655,27.9,0.95375,1.145,-1,1
"22",1.235,0.345,13.5,1.09625,0.905,1,1
"23",0.755,0.365,-42.3,0.93125,0.995,1,1
"24",0.635,0.785,-38.7,1.02875,1.085,-1,2
"25",1.265,0.595,36.9,1.01375,1.895,1,1
"26",1.865,0.645,-18.9,1.00625,1.595,-1,2
"27",1.415,0.615,15.3,1.14875,1.265,-1,1
"28",0.575,0.705,40.5,0.97625,1.445,-1,2
"29",0.515,0.565,-35.1,1.10375,1.535,1,2
"30",1.955,0.505,-26.1,0.90875,1.235,1,1
"31",0.695,0.635,-4.5,1.20875,1.955,-1,1
"32",1.805,0.605,31.5,1.21625,0.875,-1,2
"33",1.745,0.335,-15.3,1.13375,1.835,1,2
"34",1.775,0.545,4.50000000000001,1.05125,1.985,1,1
"35",1.565,0.765,8.09999999999999,0.90125,0.695,-1,1
"36",1.895,0.535,17.1,0.96875,0.575,-1,1
"37",1.085,0.795,2.7,1.17125,0.815,1,1
"38",1.295,0.725,-8.1,0.98375,0.965,-1,1
"39",1.115,0.395,24.3,0.92375,1.745,1,2
"40",0.905,0.315,-9.9,1.22375,0.725,1,1
"41",1.445,0.355,-31.5,0.99125,1.715,-1,1
"42",1.325,0.305,0.899999999999999,0.88625,1.475,1,1
"43",1.025,0.425,44.1,1.16375,1.865,-1,2
"44",1.385,0.735,-24.3,1.23125,1.775,1,1
"45",0.815,0.665,-22.5,1.12625,0.935,1,2
"46",0.965,0.485,-20.7,0.96125,1.925,1,2
"47",0.995,0.625,-13.5,0.91625,0.545,1,1
"48",1.175,0.515,33.3,1.11125,1.385,-1,2
"49",1.205,0.525,-36.9,1.20125,1.115,1,1
"50",1.475,0.475,-11.7,1.03625,0.845,-1,2
