selected run IDs = 1-30
#START
ID        params
1	 map=ADAPT_GONG_CR2161.fits 	 model=AWSoM2T 	 FactorB0=0.5987 	 PoyntingFluxPerBSi=5.476869e+05	 LperpTimesSqrtBSi=2.590775e+05 	  
2	 map=ADAPT_GONG_CR2161.fits 	 model=AWSoM2T 	 FactorB0=0.6876 	 PoyntingFluxPerBSi=5.142482e+05	 LperpTimesSqrtBSi=1.702405e+05 	  
3	 map=ADAPT_GONG_CR2161.fits 	 model=AWSoM2T 	 FactorB0=0.7334 	 PoyntingFluxPerBSi=4.371697e+05	 LperpTimesSqrtBSi=2.424774e+05 	  
4	 map=ADAPT_GONG_CR2161.fits 	 model=AWSoM2T 	 FactorB0=0.8010 	 PoyntingFluxPerBSi=3.788337e+05	 LperpTimesSqrtBSi=1.478565e+05 	  
5	 map=ADAPT_GONG_CR2161.fits 	 model=AWSoM2T 	 FactorB0=0.9431 	 PoyntingFluxPerBSi=4.910825e+05	 LperpTimesSqrtBSi=2.051508e+05 	  
6	 map=ADAPT_GONG_CR2161.fits 	 model=AWSoM2T 	 FactorB0=1.0077 	 PoyntingFluxPerBSi=3.497357e+05	 LperpTimesSqrtBSi=2.300849e+05 	  
7	 map=ADAPT_GONG_CR2161.fits 	 model=AWSoM2T 	 FactorB0=1.0404 	 PoyntingFluxPerBSi=6.687720e+05	 LperpTimesSqrtBSi=2.781630e+05 	  
8	 map=ADAPT_GONG_CR2161.fits 	 model=AWSoM2T 	 FactorB0=1.0921 	 PoyntingFluxPerBSi=4.636506e+05	 LperpTimesSqrtBSi=2.997300e+05 	  
9	 map=ADAPT_GONG_CR2161.fits 	 model=AWSoM2T 	 FactorB0=1.2009 	 PoyntingFluxPerBSi=3.372154e+05	 LperpTimesSqrtBSi=1.136827e+05 	  
10	 map=ADAPT_GONG_CR2161.fits 	 model=AWSoM2T 	 FactorB0=1.2292 	 PoyntingFluxPerBSi=5.837763e+05	 LperpTimesSqrtBSi=1.609122e+05 	  
11	 map=ADAPT_GONG_CR2161.fits 	 model=AWSoM2T 	 FactorB0=1.2732 	 PoyntingFluxPerBSi=6.864116e+05	 LperpTimesSqrtBSi=2.188020e+05 	  
12	 map=ADAPT_GONG_CR2161.fits 	 model=AWSoM2T 	 FactorB0=1.3016 	 PoyntingFluxPerBSi=3.045144e+05	 LperpTimesSqrtBSi=2.830423e+05 	  
13	 map=ADAPT_GONG_CR2161.fits 	 model=AWSoM2T 	 FactorB0=1.3775 	 PoyntingFluxPerBSi=4.521527e+05	 LperpTimesSqrtBSi=1.830306e+05 	  
14	 map=ADAPT_GONG_CR2161.fits 	 model=AWSoM2T 	 FactorB0=1.4126 	 PoyntingFluxPerBSi=5.584638e+05	 LperpTimesSqrtBSi=1.025922e+05 	  
15	 map=ADAPT_GONG_CR2161.fits 	 model=AWSoM2T 	 FactorB0=1.4688 	 PoyntingFluxPerBSi=3.967346e+05	 LperpTimesSqrtBSi=2.697467e+05 	  
16	 map=ADAPT_GONG_CR2161.fits 	 model=AWSoM2T 	 FactorB0=1.4971 	 PoyntingFluxPerBSi=6.439067e+05	 LperpTimesSqrtBSi=1.935914e+05 	  
17	 map=ADAPT_GONG_CR2161.fits 	 model=AWSoM2T 	 FactorB0=1.5933 	 PoyntingFluxPerBSi=5.996813e+05	 LperpTimesSqrtBSi=2.449056e+05 	  
