selected run IDs = 1-100
#START
ID        params
1	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=0.5473 	 PoyntingFluxPerBSi=4.418171e+05	 LperpTimesSqrtBSi=2.319600e+05 	 realization=[1] 
2	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=0.5678 	 PoyntingFluxPerBSi=7.099238e+05	 LperpTimesSqrtBSi=1.359171e+05 	 realization=[3] 
3	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=0.5882 	 PoyntingFluxPerBSi=6.193943e+05	 LperpTimesSqrtBSi=2.268377e+05 	 realization=[5] 
4	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=0.5984 	 PoyntingFluxPerBSi=6.716229e+05	 LperpTimesSqrtBSi=1.103057e+05 	 realization=[6] 
5	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=0.6495 	 PoyntingFluxPerBSi=3.582514e+05	 LperpTimesSqrtBSi=1.307949e+05 	 realization=[7] 
6	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=0.6189 	 PoyntingFluxPerBSi=4.766362e+05	 LperpTimesSqrtBSi=2.652549e+05 	 realization=[8] 
7	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=0.6291 	 PoyntingFluxPerBSi=7.273333e+05	 LperpTimesSqrtBSi=1.858594e+05 	 realization=[9] 
8	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=0.6087 	 PoyntingFluxPerBSi=5.567200e+05	 LperpTimesSqrtBSi=1.576869e+05 	 realization=[11]
9	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=0.6700 	 PoyntingFluxPerBSi=6.611771e+05	 LperpTimesSqrtBSi=6.548571e+04 	 realization=[1] 
10	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=0.6802 	 PoyntingFluxPerBSi=5.358286e+05	 LperpTimesSqrtBSi=2.178737e+05 	 realization=[2] 
11	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=0.6904 	 PoyntingFluxPerBSi=3.895886e+05	 LperpTimesSqrtBSi=8.341371e+04 	 realization=[3] 
12	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=1.7026 	 PoyntingFluxPerBSi=6.368038e+05	 LperpTimesSqrtBSi=1.666509e+05 	 realization=[6] 
13	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=0.7313 	 PoyntingFluxPerBSi=5.845752e+05	 LperpTimesSqrtBSi=2.575714e+05 	 realization=[7] 
14	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=0.7109 	 PoyntingFluxPerBSi=4.522629e+05	 LperpTimesSqrtBSi=1.461617e+05 	 realization=[9] 
15	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=1.6924 	 PoyntingFluxPerBSi=5.915390e+05	 LperpTimesSqrtBSi=2.293989e+05 	 realization=[10]
16	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=0.7927 	 PoyntingFluxPerBSi=5.149371e+05	 LperpTimesSqrtBSi=9.237771e+04 	 realization=[12]
17	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=2.2649 	 PoyntingFluxPerBSi=5.010095e+05	 LperpTimesSqrtBSi=2.114709e+05 	 realization=[1] 
18	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=0.8234 	 PoyntingFluxPerBSi=6.959962e+05	 LperpTimesSqrtBSi=1.922623e+05 	 realization=[4] 
19	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=0.8745 	 PoyntingFluxPerBSi=3.269143e+05	 LperpTimesSqrtBSi=2.281183e+05 	 realization=[9] 
20	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=0.8847 	 PoyntingFluxPerBSi=5.532381e+05	 LperpTimesSqrtBSi=2.780606e+05 	 realization=[10]
21	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=0.8949 	 PoyntingFluxPerBSi=6.646590e+05	 LperpTimesSqrtBSi=1.410394e+05 	 realization=[11]
22	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=0.8540 	 PoyntingFluxPerBSi=7.656343e+05	 LperpTimesSqrtBSi=2.255571e+05 	 realization=[12]
23	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=1.0892 	 PoyntingFluxPerBSi=4.661905e+05	 LperpTimesSqrtBSi=9.878057e+04 	 realization=[1] 
24	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=0.9869 	 PoyntingFluxPerBSi=7.342971e+05	 LperpTimesSqrtBSi=2.959886e+05 	 realization=[2] 
25	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=0.9460 	 PoyntingFluxPerBSi=5.602019e+05	 LperpTimesSqrtBSi=4.243543e+04 	 realization=[4] 
26	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=0.9563 	 PoyntingFluxPerBSi=6.994781e+05	 LperpTimesSqrtBSi=8.597486e+04 	 realization=[5] 
27	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=0.9665 	 PoyntingFluxPerBSi=7.760800e+05	 LperpTimesSqrtBSi=1.333560e+05 	 realization=[6] 
28	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=0.9256 	 PoyntingFluxPerBSi=5.776114e+05	 LperpTimesSqrtBSi=2.101903e+05 	 realization=[8] 
29	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=0.9767 	 PoyntingFluxPerBSi=5.044914e+05	 LperpTimesSqrtBSi=1.717731e+05 	 realization=[9] 
30	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=1.0074 	 PoyntingFluxPerBSi=4.487810e+05	 LperpTimesSqrtBSi=2.460463e+05 	 realization=[10]
31	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=1.1403 	 PoyntingFluxPerBSi=3.686971e+05	 LperpTimesSqrtBSi=2.063486e+05 	 realization=[11]
32	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=1.0381 	 PoyntingFluxPerBSi=6.054667e+05	 LperpTimesSqrtBSi=2.870246e+05 	 realization=[1] 
33	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=0.7518 	 PoyntingFluxPerBSi=3.408419e+05	 LperpTimesSqrtBSi=1.961040e+05 	 realization=[2] 
34	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=1.0687 	 PoyntingFluxPerBSi=3.129867e+05	 LperpTimesSqrtBSi=2.729383e+05 	 realization=[4] 
35	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=0.9154 	 PoyntingFluxPerBSi=4.836000e+05	 LperpTimesSqrtBSi=7.957200e+04 	 realization=[6] 
36	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=1.1096 	 PoyntingFluxPerBSi=6.472495e+05	 LperpTimesSqrtBSi=1.551257e+05 	 realization=[8] 
37	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=1.0994 	 PoyntingFluxPerBSi=4.035162e+05	 LperpTimesSqrtBSi=2.537297e+05 	 realization=[9] 
38	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=1.1710 	 PoyntingFluxPerBSi=7.168876e+05	 LperpTimesSqrtBSi=2.153126e+05 	 realization=[10]
39	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=1.0585 	 PoyntingFluxPerBSi=6.228762e+05	 LperpTimesSqrtBSi=1.794566e+05 	 realization=[12]
40	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=0.7620 	 PoyntingFluxPerBSi=3.721790e+05	 LperpTimesSqrtBSi=4.883829e+04 	 realization=[1] 
41	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=1.1812 	 PoyntingFluxPerBSi=5.462743e+05	 LperpTimesSqrtBSi=1.243920e+05 	 realization=[3] 
42	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=1.0278 	 PoyntingFluxPerBSi=4.940457e+05	 LperpTimesSqrtBSi=1.141474e+05 	 realization=[5] 
43	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=1.2119 	 PoyntingFluxPerBSi=3.756610e+05	 LperpTimesSqrtBSi=2.767800e+05 	 realization=[6] 
44	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=1.2221 	 PoyntingFluxPerBSi=4.627086e+05	 LperpTimesSqrtBSi=1.897011e+05 	 realization=[7] 
45	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=1.2528 	 PoyntingFluxPerBSi=3.234324e+05	 LperpTimesSqrtBSi=4.115486e+04 	 realization=[10]
46	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=1.2732 	 PoyntingFluxPerBSi=6.820686e+05	 LperpTimesSqrtBSi=2.806217e+05 	 realization=[12]
47	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=1.3141 	 PoyntingFluxPerBSi=5.219010e+05	 LperpTimesSqrtBSi=1.384783e+05 	 realization=[4] 
48	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=1.3448 	 PoyntingFluxPerBSi=6.333219e+05	 LperpTimesSqrtBSi=6.932743e+04 	 realization=[7] 
49	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=1.3550 	 PoyntingFluxPerBSi=4.452990e+05	 LperpTimesSqrtBSi=1.205503e+05 	 realization=[8] 
50	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=1.3754 	 PoyntingFluxPerBSi=5.741295e+05	 LperpTimesSqrtBSi=8.981657e+04 	 realization=[10]
51	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=1.3857 	 PoyntingFluxPerBSi=7.412610e+05	 LperpTimesSqrtBSi=1.999457e+05 	 realization=[11]
52	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=1.3959 	 PoyntingFluxPerBSi=3.303962e+05	 LperpTimesSqrtBSi=1.269531e+05 	 realization=[12]
