"","RelativeStrength","CmeRadius","DeltaOrientation","ApexCoeff","Helicity","bgRunIdx","BrFactor_ADAPT","PoyntingFluxPerBSi","LperpTimesSqrtBSi"
"1",0.53375,0.50375,36.675,1.1478125,1,17,1.08087041032422,300475,175994.542760121
"2",0.51125,0.37625,0.224999999999994,0.9021875,1,6,0.821207461547538,314446.071428568,140095.010718056
"3",1.14125,0.73625,-6.075,1.1646875,-1,8,0.88719036869668,390413.458638033,128123.862033631
"4",0.92375,0.52125,-8.775,0.8796875,1,16,1.05968841521739,379478.489056604,225877.966865679
"5",1.08875,0.54625,-42.075,1.0615625,1,1,0.71507083949455,507614.887520959,123835.597474401
"6",1.15625,0.41625,-4.725,0.9415625,1,11,0.952379098260959,325492.925686226,199598.533497777
"7",0.55625,0.35125,11.475,1.2209375,-1,2,0.727078473815264,305196.698903132,216541.271856411
"8",1.92125,0.72625,34.425,0.9621875,1,16,1.05968841521739,379478.489056604,225877.966865679
"9",1.57625,0.40625,-42.525,0.9546875,1,16,1.05968841521739,379478.489056604,225877.966865679
"10",1.40375,0.50625,-17.325,1.0353125,1,11,0.952379098260959,325492.925686226,199598.533497777
"11",0.65375,0.75375,9.225,1.1384375,-1,3,0.745933150993899,367697.749285884,165665.704034516
"12",1.65875,0.44375,-33.975,0.8984375,1,8,0.88719036869668,390413.458638033,128123.862033631
"13",0.59375,0.79875,5.625,1.1271875,1,8,0.88719036869668,390413.458638033,128123.862033631
"14",1.02875,0.62125,-19.575,0.9565625,1,5,0.804112419115475,404603.379740144,207105.243691017
"15",1.25375,0.70375,36.225,1.1928125,1,2,0.727078473815264,305196.698903132,216541.271856411
"16",0.63125,0.51875,2.025,0.9359375,-1,7,0.86134741758532,345527.935497053,234414
"17",0.93125,0.67125,26.325,1.0390625,1,8,0.88719036869668,390413.458638033,128123.862033631
"18",0.50375,0.64125,29.475,1.0315625,-1,2,0.727078473815264,305196.698903132,216541.271856411
"19",0.60125,0.79125,-20.025,0.9340625,-1,17,1.08087041032422,300475,175994.542760121
"20",0.86375,0.68125,12.825,0.9903125,-1,16,1.05968841521739,379478.489056604,225877.966865679
"21",0.69125,0.47375,-37.125,1.0634375,-1,17,1.08087041032422,300475,175994.542760121
"22",1.53125,0.59625,-12.825,1.1909375,-1,16,1.05968841521739,379478.489056604,225877.966865679
"23",0.66875,0.73875,28.575,1.2359375,-1,1,0.71507083949455,507614.887520959,123835.597474401
"24",0.99875,0.39125,42.525,1.0671875,-1,2,0.727078473815264,305196.698903132,216541.271856411
"25",0.72125,0.58625,-22.275,1.1815625,-1,2,0.727078473815264,305196.698903132,216541.271856411
"26",1.34375,0.48125,-29.925,1.1290625,1,2,0.727078473815264,305196.698903132,216541.271856411
"27",0.95375,0.64875,10.125,1.1890625,-1,7,0.86134741758532,345527.935497053,234414
"28",0.80375,0.57625,24.975,1.1721875,1,16,1.05968841521739,379478.489056604,225877.966865679
"29",0.58625,0.72375,-14.175,1.0034375,-1,11,0.952379098260959,325492.925686226,199598.533497777
"30",0.78875,0.75875,1.12499999999999,1.0071875,1,17,1.08087041032422,300475,175994.542760121
"31",1.41875,0.66625,-10.125,1.0428125,-1,7,0.86134741758532,345527.935497053,234414
"32",0.72875,0.53375,-7.875,1.0334375,1,5,0.804112419115475,404603.379740144,207105.243691017
"33",0.81875,0.56875,-20.925,1.2471875,1,8,0.88719036869668,390413.458638033,128123.862033631
"34",1.54625,0.63375,39.375,1.0484375,-1,17,1.08087041032422,300475,175994.542760121
"35",0.94625,0.33625,24.525,1.0278125,-1,17,1.08087041032422,300475,175994.542760121
"36",0.63875,0.65375,29.925,0.9865625,-1,5,0.804112419115475,404603.379740144,207105.243691017
"37",0.75125,0.50875,-38.925,1.1309375,-1,16,1.05968841521739,379478.489056604,225877.966865679
"38",0.51875,0.66125,4.275,1.0709375,-1,1,0.71507083949455,507614.887520959,123835.597474401
"39",0.56375,0.46625,26.775,0.9509375,1,1,0.71507083949455,507614.887520959,123835.597474401
"40",0.84125,0.46375,-6.975,1.2003125,-1,6,0.821207461547538,314446.071428568,140095.010718056
"41",0.78125,0.77625,-27.675,1.1065625,1,1,0.71507083949455,507614.887520959,123835.597474401
"42",0.71375,0.49125,31.275,1.1834375,-1,8,0.88719036869668,390413.458638033,128123.862033631
"43",0.75875,0.74875,12.375,1.0934375,1,2,0.727078473815264,305196.698903132,216541.271856411
"44",0.82625,0.41375,-21.825,1.0465625,-1,3,0.745933150993899,367697.749285884,165665.704034516
"45",0.81125,0.33875,-39.825,1.0053125,-1,5,0.804112419115475,404603.379740144,207105.243691017
"46",0.79625,0.59125,-34.425,0.9228125,-1,11,0.952379098260959,325492.925686226,199598.533497777
"47",0.57875,0.56125,7.425,1.0540625,-1,6,0.821207461547538,314446.071428568,140095.010718056
"48",0.64625,0.47125,-1.575,0.9115625,1,2,0.727078473815264,305196.698903132,216541.271856411
