RelativeStrength,CmeRadius,DeltaOrientation,ApexCoeff,Helicity,bgRunIdx,realization
0.51875,0.35875,-33.075,1.2096875,-1.0,11.0,[5]
1.41125,0.50375,5.625,1.1703125,-1.0,11.0,[4]
0.53375,0.63125,27.675,0.9265625,1.0,11.0,[4]
0.60875,0.55875,-23.175,0.9021875,1.0,11.0,[4]
0.63875,0.51875,-3.375,1.0634375,1.0,11.0,[4]
0.69125,0.42125,-15.525,1.1628125,1.0,11.0,[4]
0.73625,0.60875,9.225,1.1984375,-1.0,11.0,[4]
1.12625,0.61625,-6.525,0.9321875,-1.0,11.0,[4]
1.43375,0.32875,-20.475,1.2303125,1.0,11.0,[5]
0.82625,0.31875,-28.575,0.9809375,-1.0,11.0,[4]
0.65375,0.63625,-42.525,0.9903125,-1.0,11.0,[5]
1.13375,0.67875,-40.725,1.1515625,1.0,11.0,[4]
1.01375,0.71875,-16.875,1.0353125,-1.0,11.0,[4]
1.08875,0.40875,35.325,1.1309375,1.0,11.0,[5]
0.89375,0.47875,-24.075,1.1234375,-1.0,11.0,[5]
0.96875,0.76625,13.275,1.2153125,1.0,11.0,[5]
0.93875,0.65875,-10.575,1.0971875,1.0,11.0,[4]
0.57125,0.45625,13.725,0.9565625,-1.0,11.0,[4]
0.87875,0.58625,24.975,1.0015625,1.0,11.0,[5]
0.76625,0.75625,-36.675,0.8909375,-1.0,11.0,[5]
0.88625,0.35625,2.475,0.8871875,1.0,11.0,[5]
1.18625,0.43125,21.825,1.2434375,-1.0,11.0,[5]
1.20875,0.54625,33.525,0.8928125,-1.0,11.0,[4]
1.23875,0.70125,18.675,1.0765625,1.0,11.0,[5]
1.28375,0.79875,-29.925,1.1103125,1.0,11.0,[4]
1.38875,0.66625,41.625,0.9771875,-1.0,11.0,[4]
1.53875,0.78125,29.925,1.0540625,-1.0,11.0,[5]
1.96625,0.49375,-13.725,0.9696875,1.0,11.0,[4]
1.46375,0.47125,-32.625,0.9096875,-1.0,11.0,[5]
1.62125,0.74875,-12.825,1.1778125,1.0,11.0,[5]
1.59875,0.45375,-42.975,1.1009375,-1.0,11.0,[5]
1.76375,0.33375,39.825,1.0803125,1.0,11.0,[5]
1.26875,0.38875,-2.475,1.0184375,-1.0,11.0,[5]
1.74875,0.77125,-25.875,0.9453125,1.0,11.0,[5]
1.86125,0.59375,-19.125,1.0746875,-1.0,11.0,[4]
1.83125,0.73375,7.875,0.9921875,1.0,11.0,[5]
1.54625,0.62875,44.325,1.2209375,1.0,11.0,[4]
1.32875,0.56875,-37.575,0.9621875,1.0,11.0,[4]
1.92125,0.66875,3.375,1.1328125,-1.0,11.0,[5]
1.98875,0.58125,33.075,1.1740625,1.0,11.0,[4]
0.78875,0.61875,-27.675,1.2078125,1.0,15.0,[4]
0.52625,0.48125,-41.175,1.0465625,-1.0,15.0,[4]
0.75125,0.78375,36.225,1.1403125,-1.0,15.0,[4]
1.05125,0.76375,-14.625,1.0840625,-1.0,15.0,[6]
0.72125,0.57875,-36.225,1.1253125,-1.0,15.0,[4]
0.80375,0.46375,42.075,1.0221875,-1.0,15.0,[6]
1.15625,0.67125,26.775,0.9996875,-1.0,15.0,[4]
1.49375,0.44625,-14.175,0.8965625,1.0,15.0,[4]
1.02125,0.54375,-33.975,0.9190625,-1.0,15.0,[6]
0.91625,0.64375,17.775,0.9115625,1.0,15.0,[6]
0.98375,0.32625,-5.175,0.9678125,-1.0,15.0,[6]
1.09625,0.51125,1.575,1.0578125,-1.0,15.0,[6]
0.59375,0.68625,11.025,1.1590625,1.0,15.0,[6]
1.73375,0.53125,29.475,0.9509375,-1.0,15.0,[4]
1.26125,0.77875,6.075,1.2471875,-1.0,15.0,[6]
1.89125,0.54875,-12.375,1.0165625,-1.0,15.0,[6]
1.29875,0.65125,-16.425,1.1384375,1.0,15.0,[4]
1.32125,0.42375,-21.375,0.9884375,-1.0,15.0,[4]
1.25375,0.34625,-32.175,1.1646875,-1.0,15.0,[6]
1.14125,0.39375,9.675,0.8796875,1.0,15.0,[6]
1.44875,0.62375,7.425,0.9434375,-1.0,15.0,[4]
1.92875,0.52125,42.975,1.2021875,-1.0,15.0,[6]
1.37375,0.56125,36.675,1.0090625,1.0,15.0,[4]
0.70625,0.38625,16.875,1.1946875,-1.0,15.0,[6]
0.90125,0.78625,-37.125,1.0109375,1.0,15.0,[6]
0.92375,0.44375,-44.775,1.1796875,-1.0,15.0,[4]
1.57625,0.72375,-26.325,1.0521875,-1.0,15.0,[6]
1.60625,0.46875,34.425,1.1534375,1.0,15.0,[4]
1.52375,0.60375,22.725,1.1721875,-1.0,15.0,[6]
1.72625,0.73875,3.825,1.1046875,1.0,15.0,[4]
