RelativeStrength,CmeRadius,DeltaOrientation,ApexCoeff,Helicity,bgRunIdx,realization
0.50375,0.42125,-3.375,0.9959375,-1.0,14.0,[1]
0.52625,0.49124999999999996,19.575000000000003,0.9509375,-1.0,16.0,[1]
1.89875,0.5862499999999999,13.724999999999994,0.9115625,-1.0,16.0,[1]
1.8387499999999999,0.63625,36.675,1.1703125,1.0,13.0,[4]
1.15625,0.35625,42.525000000000006,0.9415625,-1.0,16.0,[1]
0.7737499999999999,0.53125,2.0249999999999986,1.1009375000000001,-1.0,13.0,[4]
0.66875,0.41874999999999996,-13.275000000000002,1.0896875,1.0,17.0,[5]
1.02875,0.69875,-36.225,0.9096875,1.0,20.0,[6]
0.62375,0.7887500000000001,3.375,1.1103125,1.0,20.0,[6]
1.61375,0.59375,22.724999999999994,0.9321875,1.0,20.0,[6]
1.50125,0.32375,36.224999999999994,0.9059375,1.0,9.0,[4]
1.74875,0.32625,24.075000000000003,0.9828125,1.0,18.0,[1]
0.76625,0.40625,33.525000000000006,1.1628125,1.0,19.0,[5]
0.61625,0.45125,-20.474999999999998,1.1196875,1.0,16.0,[1]
0.70625,0.79125,28.575000000000003,1.0690625,-1.0,16.0,[1]
0.60875,0.6637500000000001,-5.174999999999997,0.9378125,1.0,13.0,[4]
0.56375,0.34125,-37.575,1.2115624999999999,1.0,9.0,[4]
0.6387499999999999,0.48124999999999996,42.075,1.0765625,-1.0,14.0,[1]
1.65875,0.67875,12.374999999999993,1.1309375,-1.0,20.0,[6]
0.72875,0.62625,-14.174999999999997,0.8946875,1.0,11.0,[1]
0.57875,0.60375,16.875,1.0409375,1.0,11.0,[1]
0.59375,0.36124999999999996,21.375,0.9884375,-1.0,17.0,[5]
0.87875,0.66625,-37.125,1.1121875,-1.0,17.0,[5]
0.87125,0.36375,-29.924999999999997,1.2078125,1.0,16.0,[1]
0.68375,0.66125,37.125,1.0540625,-1.0,20.0,[6]
0.57125,0.55375,-40.275,1.2190625,-1.0,14.0,[1]
0.9612499999999999,0.68875,-23.175,1.0803125,-1.0,11.0,[1]
1.68875,0.79375,31.72500000000001,1.1459375,1.0,17.0,[5]
1.43375,0.51625,-38.925,1.0015625,1.0,11.0,[1]
0.72125,0.44125,18.225,1.1478125000000001,-1.0,18.0,[1]
0.7362500000000001,0.7012499999999999,-7.875,1.2003125,1.0,9.0,[4]
0.69125,0.37374999999999997,-24.075,1.1496875,-1.0,13.0,[4]
1.05125,0.60625,42.97500000000001,0.9284375,1.0,19.0,[5]
0.75125,0.62375,-34.425,1.1890625,1.0,13.0,[4]
0.75875,0.68375,6.975000000000001,0.9078125,-1.0,17.0,[5]
1.94375,0.39875,32.625,0.9546875,-1.0,17.0,[5]
0.8262499999999999,0.38375,41.625,1.0334375,-1.0,9.0,[4]
0.53375,0.64625,-15.075,1.1646874999999999,1.0,15.0,[1]
1.50875,0.67125,17.775,1.0578125,1.0,17.0,[5]
1.36625,0.30124999999999996,26.775000000000006,0.9528125,1.0,19.0,[5]
1.20125,0.31124999999999997,21.825000000000003,1.1046875,1.0,11.0,[1]
0.63125,0.50875,6.524999999999999,1.1834375000000001,-1.0,15.0,[1]
0.81875,0.6012500000000001,31.275000000000006,0.9021875,-1.0,14.0,[1]
0.92375,0.55875,1.124999999999993,0.9621875,1.0,14.0,[1]
1.08875,0.6112500000000001,-36.675,1.2321875,1.0,15.0,[1]
0.84125,0.33375,7.425000000000004,1.0934375,1.0,18.0,[1]
1.32125,0.44875,-34.875,0.8965625,1.0,15.0,[1]
1.14875,0.53625,-27.224999999999998,1.2453125,1.0,20.0,[6]
0.95375,0.51125,-15.524999999999999,1.0915625,-1.0,20.0,[6]
1.25375,0.34875,34.875,1.1178124999999999,1.0,20.0,[6]
1.9737500000000001,0.65875,-21.825,0.9921875,-1.0,17.0,[5]
0.71375,0.54625,40.275000000000006,0.8853125,-1.0,15.0,[1]
0.89375,0.48624999999999996,-2.924999999999997,0.9659375,-1.0,9.0,[4]
0.51125,0.37625,-43.425,1.0484375,-1.0,11.0,[1]
0.9087500000000001,0.49875,-31.275,1.2265625,-1.0,19.0,[5]
0.91625,0.77125,-30.375,0.8871875,1.0,9.0,[4]
1.72625,0.6737500000000001,-44.325,0.9753125,1.0,9.0,[4]
0.93875,0.32125,-10.575000000000003,1.0634375,1.0,19.0,[5]
0.9762500000000001,0.72125,33.075,0.9696875,1.0,18.0,[1]
1.86125,0.7437499999999999,-33.525,1.1740625,1.0,17.0,[5]
1.4562499999999998,0.76875,29.474999999999994,1.1234375,1.0,14.0,[1]
0.94625,0.47875,-22.725,1.1796875,1.0,18.0,[1]
1.84625,0.47375,-11.475000000000001,1.0315625,-1.0,11.0,[1]
1.11875,0.5137499999999999,14.174999999999997,1.0371875,-1.0,19.0,[5]
0.69875,0.53875,29.924999999999997,0.9940625,1.0,9.0,[4]
0.99125,0.39625,15.074999999999996,1.0146875,1.0,15.0,[1]
1.66625,0.40875,-16.425,1.2415625000000001,-1.0,16.0,[1]
1.52375,0.41375,4.725000000000001,0.9640625,1.0,11.0,[1]
1.02125,0.59125,-17.775000000000002,1.0521875,-1.0,13.0,[4]
1.38125,0.38625,-20.025,1.2134375,-1.0,15.0,[1]
1.92875,0.30374999999999996,-24.525,1.1365625000000001,-1.0,20.0,[6]
0.84875,0.31375,25.424999999999997,1.0446875,1.0,13.0,[4]
1.88375,0.7637499999999999,-35.325,1.0128125,-1.0,14.0,[1]
1.07375,0.7987500000000001,-0.6749999999999972,1.1778125,1.0,11.0,[1]
1.5987500000000001,0.7112499999999999,2.4749999999999943,0.9865625,1.0,19.0,[5]
1.0662500000000001,0.5237499999999999,23.625,1.1215625,1.0,17.0,[5]
1.08125,0.61625,9.225000000000001,0.9903125,-1.0,20.0,[6]
