Radius,BStrength,ApexHeight,Orientation,restartdir,realization
0.42125,-12.795190207715134,0.41953867187500005,183.755,14.0,[1]
0.49124999999999996,-11.462019592875318,0.46714804687499994,206.70499999999998,16.0,[1]
0.5862499999999999,-34.654252238805974,0.534403515625,200.855,16.0,[1]
0.63625,30.92192278978389,0.7446113281250001,223.805,13.0,[4]
0.35625,-34.72709649122807,0.335431640625,229.655,16.0,[1]
0.53125,-15.583798352941175,0.5848730468750001,189.155,13.0,[4]
0.41874999999999996,17.087580597014927,0.4563066406249999,173.855,17.0,[5]
0.69875,15.752867799642221,0.635644140625,150.905,20.0,[6]
0.7887500000000001,8.461410935023771,0.8757589843750001,190.505,20.0,[6]
0.59375,29.080658315789474,0.553486328125,209.855,20.0,[6]
0.32375,49.6152111969112,0.29329726562499997,223.355,9.0,[4]
0.32625,57.35203180076629,0.32064257812499997,211.20499999999998,18.0,[1]
0.40625,20.181280307692308,0.472392578125,220.655,19.0,[5]
0.45125,14.61205567867036,0.5052589843749999,166.655,16.0,[1]
0.79125,-9.55028515007899,0.8458957031250001,215.70499999999998,16.0,[1]
0.6637500000000001,9.813095856873822,0.622473046875,181.95499999999998,13.0,[4]
0.34125,17.67606117216117,0.41344570312499995,149.555,9.0,[4]
0.48124999999999996,-14.201419999999999,0.518095703125,229.20499999999998,14.0,[1]
0.67875,-26.148253959484343,0.767623828125,199.505,20.0,[6]
0.62625,12.450948303393215,0.560298046875,172.95499999999998,11.0,[1]
0.60375,10.256648240165632,0.628466015625,204.005,11.0,[1]
0.36124999999999996,-17.586012110726646,0.35707304687499997,208.505,17.0,[5]
0.66625,-14.112362288930584,0.740994921875,150.005,17.0,[5]
0.36375,25.627803780068728,0.439341796875,157.20499999999998,16.0,[1]
0.66125,-11.063772967863892,0.6969988281249999,224.255,20.0,[6]
0.55375,-11.037839503386007,0.6750558593749999,146.855,14.0,[1]
0.68875,-14.932975136116154,0.7440652343749999,163.95499999999998,11.0,[1]
0.79375,22.764243622047246,0.909587890625,218.85500000000002,17.0,[5]
0.51625,29.715631719128332,0.5170566406249999,148.20499999999998,11.0,[1]
0.44125,-17.489311331444757,0.506472265625,205.355,18.0,[1]
0.7012499999999999,11.233731372549022,0.8417191406249999,179.255,9.0,[4]
0.37374999999999997,-19.789077257525086,0.42969570312499994,163.055,13.0,[4]
0.60625,18.553500412371136,0.562865234375,230.10500000000002,19.0,[5]
0.62375,12.886813026052105,0.741677734375,152.70499999999998,13.0,[4]
0.68375,-11.87334168190128,0.620716796875,194.105,17.0,[5]
0.39875,-52.15684482758621,0.380681640625,219.755,17.0,[5]
0.38375,-23.037464820846907,0.396581640625,228.755,9.0,[4]
0.64625,8.837082978723403,0.7526792968749999,172.055,15.0,[1]
0.67125,24.04941880819367,0.7100566406250001,204.905,17.0,[5]
0.30124999999999996,48.52602531120333,0.28703476562499997,213.905,19.0,[5]
